Ticker,Current Price,Date,8d MA,8d MA %,21d MA,21d MA %,50d MA,50d MA %,200d MA,200d MA %
AAPL,324.96,2026-09-02,316.86,2.56,311.93,4.18,313.38,3.7,282.89,14.87
MSFT,496.82,2026-09-02,499.89,-0.61,494.36,0.5,437.7,13.51,429.37,15.71
GOOGL,337.12,2026-09-02,341.97,-1.42,345.99,-2.56,348.73,-3.33,335.11,0.6
AMZN,254.98,2026-09-02,259.47,-1.73,264.09,-3.45,252.83,0.85,238.87,6.74
META,592.85,2026-09-02,574.76,3.15,575.28,3.05,592.95,-0.02,621.51,-4.61
TSLA,357.01,2026-09-02,353.7,0.93,343.24,4.01,358.35,-0.37,399.97,-10.74
NVDA,224.41,2026-09-02,217.42,3.22,219.29,2.34,209.28,7.23,196.11,14.43
